sampleid,field_rank,ptype_count
40,0.883666275,7
44,0.883783784,1
66,0.884180791,21
33,0.884244373,2
18,0.884393064,15
45,0.884444444,448
44,0.884459459,1
3,0.884576098,5
5,0.884615385,1
75,0.884615385,2
58,0.884816754,1
40,0.884841363,8
2,0.884955752,21
64,0.885122411,14
66,0.885122411,21
44,0.885135135,1
57,0.885135135,1
20,0.885185185,141
56,0.885304659,13
33,0.885316184,2
12,0.885321101,1
35,0.885416667,7
69,0.885416667,8
10,0.885572139,1
3,0.885597549,5
68,0.885714286,1
44,0.885810811,1
67,0.885964912,1
40,0.886016451,8
66,0.88606403,21
24,0.886075949,1
63,0.886075949,44
4,0.886206897,9
19,0.886363636,20
33,0.886387996,2
44,0.886486486,1
3,0.886618999,5
45,0.886666667,445
79,0.886956522,2
64,0.88700565,13
66,0.88700565,21
38,0.887096774,2
44,0.887162162,1
40,0.887191539,8
33,0.887459807,2
25,0.8875,3
3,0.887640449,5
44,0.887837838,1
66,0.887947269,21
68,0.888095238,1
9,0.888157895,19
40,0.888366627,8
44,0.888513514,1
33,0.888531618,2
3,0.8886619,5
20,0.888888889,204
41,0.888888889,2
45,0.888888889,439
56,0.888888889,13
59,0.888888889,20
64,0.888888889,6
66,0.888888889,21
67,0.888888889,2
44,0.889189189,1
2,0.889380531,21
40,0.889541716,8
33,0.88960343,2
4,0.889655172,9
23,0.889655172,12
3,0.88968335,5
66,0.889830508,21
44,0.889864865,1
12,0.889908257,1
58,0.890052356,1
18,0.89017341,55
63,0.890295359,43
68,0.89047619,1
44,0.890540541,1
10,0.890547264,1
69,0.890625,8
33,0.890675241,2
3,0.890704801,5
40,0.890716804,8
64,0.890772128,13
66,0.890772128,21
19,0.890909091,41
45,0.891111111,439
44,0.891216216,1
79,0.891304348,2
66,0.891713748,21
3,0.891726251,5
33,0.891747053,2
67,0.891812865,1
40,0.891891892,8
44,0.891891892,1
57,0.891891892,1
56,0.892473118,13
44,0.892567568,1
20,0.892592593,93
64,0.892655367,13
66,0.892655367,21
3,0.892747702,5
33,0.892818864,2
68,0.892857143,1
40,0.89306698,2
4,0.893103448,9
44,0.893243243,1
45,0.893333333,420
66,0.893596987,20
3,0.893769152,5
2,0.89380531,13
33,0.893890675,2
44,0.893918919,1
5,0.894230769,1
40,0.894242068,4
12,0.894495413,1
63,0.894514768,42
64,0.894538606,13
66,0.894538606,20
44,0.894594595,1
9,0.894736842,9
67,0.894736842,3
76,0.894736842,7
3,0.894790603,5
33,0.894962487,2
38,0.89516129,1
68,0.895238095,1
44,0.89527027,1
58,0.895287958,1
40,0.895417156,4
19,0.895454545,41
66,0.895480226,20
10,0.895522388,1
30,0.895522388,1
45,0.895555556,416
79,0.895652174,2
3,0.895812053,5
35,0.895833333,6
69,0.895833333,8
44,0.895945946,1
18,0.895953757,55
33,0.896034298,2
56,0.896057348,13
20,0.896296296,182
64,0.896421846,13
66,0.896421846,20
4,0.896551724,9
23,0.896551724,11
40,0.896592244,7
44,0.896621622,1
3,0.896833504,5
33,0.897106109,1
44,0.897297297,1
66,0.897363465,20
68,0.897619048,1
67,0.897660819,1
40,0.897767333,7
45,0.897777778,414
3,0.897854954,5
44,0.897972973,1
33,0.898177921,1
2,0.898230088,19
64,0.898305085,13
66,0.898305085,20
44,0.898648649,1
57,0.898648649,1
24,0.898734177,1
63,0.898734177,39
3,0.898876404,5
